DATE,Time,Temp
9/23/2019,06:53:00,72
9/23/2019,07:53:00,78
9/23/2019,08:53:00,83
9/23/2019,09:53:00,86
9/23/2019,10:53:00,87
9/23/2019,11:53:00,90
9/23/2019,12:53:00,89
9/23/2019,13:53:00,92
9/23/2019,14:53:00,92
9/23/2019,15:53:00,90
9/23/2019,16:53:00,89
9/23/2019,17:53:00,87
9/23/2019,18:53:00,86
9/23/2019,19:53:00,82
9/23/2019,20:53:00,82
9/23/2019,21:53:00,81
9/23/2019,22:53:00,80
9/23/2019,23:53:00,80
9/24/2019,00:53:00,79
9/24/2019,01:53:00,77
9/24/2019,02:53:00,75
9/24/2019,03:51:00,73
9/24/2019,03:53:00,74
9/24/2019,04:26:00,74
9/24/2019,04:53:00,73
9/24/2019,05:53:00,72
9/24/2019,06:53:00,75
9/24/2019,07:53:00,79
9/24/2019,08:53:00,84
9/24/2019,09:53:00,86
9/24/2019,10:53:00,88
9/24/2019,11:53:00,87
9/24/2019,12:53:00,90
9/24/2019,13:53:00,93
9/24/2019,14:53:00,92
9/24/2019,15:53:00,91
9/24/2019,16:53:00,89
9/24/2019,17:53:00,81
9/24/2019,18:53:00,77
9/24/2019,19:53:00,74
9/24/2019,20:53:00,71
9/24/2019,21:53:00,69
9/24/2019,22:53:00,67
9/24/2019,23:53:00,66
9/25/2019,00:53:00,64
9/25/2019,01:53:00,64
9/25/2019,02:53:00,63
9/25/2019,03:53:00,63
9/25/2019,04:53:00,63
9/25/2019,05:53:00,64
9/25/2019,06:53:00,70
9/25/2019,07:53:00,78
9/25/2019,08:53:00,85
9/25/2019,09:53:00,88
9/25/2019,10:53:00,90
9/25/2019,11:53:00,92
9/25/2019,12:53:00,92
9/25/2019,13:53:00,95
9/25/2019,14:53:00,95
9/25/2019,15:53:00,93
9/25/2019,16:53:00,92
9/25/2019,17:53:00,89
9/25/2019,18:53:00,88
9/25/2019,19:53:00,84
9/25/2019,20:53:00,81
9/25/2019,21:53:00,78
9/25/2019,22:53:00,77
9/25/2019,23:53:00,75
9/26/2019,00:53:00,74
9/26/2019,01:53:00,74
9/26/2019,02:53:00,73
9/26/2019,03:53:00,72
9/26/2019,04:53:00,73
9/26/2019,05:53:00,73
9/26/2019,06:53:00,76
9/26/2019,07:53:00,81
9/26/2019,08:53:00,88
9/26/2019,09:53:00,92
9/26/2019,10:53:00,92
9/26/2019,11:53:00,92
9/26/2019,12:53:00,94
9/26/2019,13:53:00,94
9/26/2019,14:53:00,93
9/26/2019,15:53:00,93
9/26/2019,16:53:00,91
9/26/2019,17:53:00,85
9/26/2019,18:53:00,82
9/26/2019,19:53:00,79
9/26/2019,20:53:00,77
9/26/2019,21:53:00,77
9/26/2019,22:53:00,75
9/26/2019,23:53:00,74
9/27/2019,00:53:00,73
9/27/2019,01:53:00,78
9/27/2019,02:53:00,78
9/27/2019,03:53:00,77
9/27/2019,04:53:00,76
9/27/2019,05:53:00,76
9/27/2019,06:53:00,80
9/27/2019,07:53:00,83
9/27/2019,08:53:00,88
9/27/2019,09:53:00,90
9/27/2019,10:53:00,94
9/27/2019,11:53:00,94
9/27/2019,12:53:00,94
9/27/2019,13:53:00,95
9/27/2019,14:53:00,95
9/27/2019,15:53:00,95
9/27/2019,16:53:00,92
9/27/2019,17:02:00,92
9/27/2019,17:18:00,88
9/27/2019,17:53:00,86
9/27/2019,18:53:00,83
9/27/2019,19:53:00,81
9/27/2019,20:53:00,80
9/27/2019,21:53:00,80
9/27/2019,22:53:00,80
9/27/2019,23:53:00,78
9/28/2019,00:53:00,76
9/28/2019,01:53:00,76
9/28/2019,02:53:00,74
9/28/2019,03:53:00,74
9/28/2019,04:53:00,73
9/28/2019,05:53:00,75
9/28/2019,06:53:00,77
9/28/2019,07:53:00,81
9/28/2019,08:53:00,84
9/28/2019,09:53:00,86
9/28/2019,10:53:00,89
9/28/2019,11:53:00,91
9/28/2019,12:53:00,92
9/28/2019,13:53:00,92
9/28/2019,14:53:00,95
9/28/2019,15:53:00,93
9/28/2019,16:53:00,91
9/28/2019,17:53:00,86
9/28/2019,18:53:00,84
9/28/2019,19:53:00,84
9/28/2019,20:53:00,83
9/28/2019,21:53:00,82
9/28/2019,22:53:00,80
9/28/2019,23:53:00,80
9/29/2019,00:53:00,79
9/29/2019,01:53:00,79
9/29/2019,02:53:00,76
9/29/2019,03:53:00,78
9/29/2019,04:53:00,77
9/29/2019,05:53:00,76
9/29/2019,06:53:00,78
9/29/2019,07:53:00,81
9/29/2019,08:53:00,84
9/29/2019,09:53:00,88
9/29/2019,10:53:00,91
9/29/2019,11:53:00,92
9/29/2019,12:53:00,96
9/29/2019,13:53:00,96
9/29/2019,14:53:00,96
9/29/2019,15:53:00,95
9/29/2019,16:53:00,93
9/29/2019,17:53:00,90
9/29/2019,18:53:00,88
9/29/2019,19:53:00,81
9/29/2019,20:53:00,81
9/29/2019,21:53:00,81
9/29/2019,22:53:00,79
9/29/2019,23:53:00,76
9/30/2019,00:53:00,75
9/30/2019,01:53:00,74
9/30/2019,02:53:00,73
9/30/2019,03:53:00,72
9/30/2019,04:53:00,72
